Method,Tasks,TSR,PCSR,MIAD,Unsafe MIAD,UnsafePlan,UnsafeExec,CTMIR,PVAR,UTIR,SMMR,GuardBlocked
SimTopK,120,50.0,0.0,50.0,50.0,100.0,50.0,95.0,16.7,50.0,33.3,0.0
Sim+Recency,120,75.0,0.0,25.0,25.0,100.0,25.0,98.3,16.7,25.0,0.0,0.0
CapsuleFilter,120,48.3,48.3,38.3,38.3,38.3,38.3,0.0,30.0,38.3,0.0,0.0
ToolGuardOnly,120,91.7,0.0,50.0,50.0,100.0,0.0,95.0,16.7,50.0,33.3,50.0
PairwiseGate,120,26.7,26.7,68.3,68.3,68.3,68.3,0.0,30.0,68.3,28.3,0.0
MemAct-Lite,120,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MemAct-Strict,120,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
