Method,Tasks,TSR,PCSR,MIAD,Unsafe MIAD,UnsafePlan,UnsafeExec,CTMIR,PVAR,UTIR,SMMR,GuardBlocked
Full MemAct,120,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w/o PrivacyFilter,120,91.7,0.0,0.0,0.0,91.7,0.0,91.7,0.0,0.0,0.0,0.0
w/o ActionProbe,120,48.3,48.3,38.3,38.3,38.3,38.3,0.0,30.0,38.3,0.0,0.0
w/o UsagePolicy,120,56.7,56.7,30.0,30.0,30.0,30.0,0.0,30.0,30.0,0.0,0.0
w/o FreshnessCheck,120,60.0,60.0,31.7,31.7,31.7,31.7,0.0,0.0,31.7,31.7,0.0
w/o SetRecheck,120,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
