Method,Core ms,Ctx. Tok.,Draft Tok.,Base Draft,Cand. Draft,Set Draft,Total Draft,Cand.,Tasks
SimTopK,1.40,125.42,0.00,0.00,0.00,0.00,0.00,5.00,120
Sim+Recency,1.41,129.17,0.00,0.00,0.00,0.00,0.00,5.00,120
CapsuleFilter,1.40,73.78,0.00,0.00,0.00,0.00,0.00,2.97,120
ToolGuardOnly,1.40,125.42,0.00,0.00,0.00,0.00,0.00,5.00,120
PairwiseGate,1.41,90.20,0.00,0.00,0.00,0.00,0.00,20.00,120
MemAct-Lite,1.45,53.88,592.62,1.00,2.97,2.05,6.02,2.97,120
MemAct-Strict,1.50,53.88,1165.23,1.00,5.93,4.10,11.03,2.97,120
